Table   769.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/All car HH)***
District to District MODEL Summary for Scenario  3: Y2023 BUILD                             
Home-Based Work All Fixed Guideway All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
Downt         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        2
Downt         0        0        0        0        0        0        0        0        0        4        0        0        0        0       13        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        3        0        0        0        0        0        0       24
West          0        0        0        0        0        0        0        0        0        1        3        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       19        0        0        0        0        0        0       27
Lower         0        0        0        1        0        0        0        0        0        0        1        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3        0        0        0        0        0        0       11
MtAub         0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        6
Corry         0        0        0        0        0        0        0        0        0        0       10        1        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        1        0        0        0        0        0        0       16
UCMed         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1
MtAda         0        0        0        0        0        0        0        0        0        1        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3
Walnu         0        0        0        1        0        0        0        0        0        4        0        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        3        0        0        0        0        0        0       11
Clift        24       12        1        3        3        5        1        1        1        7       14        1        0        0        9        0        3        0        8        0        2        0        0        0        0        0        0        0        0        0        5        0        0        0        0       55        0        1        1        0        7        0      166
North        46      133        1        2        6       34       12        1        3       34        0        2        0        0        0        5        4        0       17        0        1        0        0        0        0        0        0        0        0        0        2        2        5        2        0       34        0        1        1        0        6        0      358
Winto         4        5        0        1        0        0        0        1        0        0        0        0        0        0        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        8        0        1        4        0        3        0       34
BondH         0        0        0        0        0        0        0        0        0        6        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0       10
Xavie         0        1        0        0        0        0        0        0        0        2        0        0        0        0        0        2        0        0        6        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       13
Finne        89       98        0        1       11        8        9        3        6       13        4       12        0        2        1       17       11        0       49        0        0        0        0        0        1        8        0        0        0        0        1        1        7        1        5       46        0        7        2       10        8        0      431
