Table   958.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/0 car HH)***
District to District MODEL Summary for Scenario  3: Y2023 BUILD                             
All Purposes All Fixed Guideway All Access 0 car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
Downt         2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        6
Downt         0        1        0        0        0        0        0        0        0        0        0        0        0        0       32        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0       26        0        0        0        4        0        0        0        0        0        0       65
West          0        0        0        0        0        0        0        0        0        2        7        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       12
Lower         0        0        0        1        0        0        0        0        0        1        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        2        0        0        0        0        0        0        9
MtAub         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        5
Corry         0        0        0        0        0        0        0        0        0        0       27        2        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        2        0        0        0        1        0        0        0        0        0        0       39
UCMed         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        0        0        0        1        0        0        0        0        0        0        8
MtAda         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        1        0        0        0        0        0        0        3
Walnu         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Clift        26       18        2        6        2       21        6        1        7       17       30        1        1        0       19        0        5        0        8        0        1        0        0        0        0        1        0        0        0        0        9        0        1        0        0       20        0        1        1        1        4        0      208
North        55      175        2        0        4      113       23        1        1      110        1        3        0        0        1       10        1        0       23        0        1        0        0        0        0        0        0        0        0        0        2       23        8        4        2       35        0        1        1        0        6        0      606
Winto         7        7        0        1        0        0        0        1        0        0        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        1        0        1        5        0        2        0       35
BondH         0        0        0        0        0        0        0        0        0        8        1        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       28        0        0        0        0        0        0        0        0        0        0       38
Xavie         0        0        0        0        0        0        0        0        0        2        2        0        0        0        3        5        0        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       20
Finne        65       51        1        1        2        8       10        2        2        5        8       18        0        0        3       32       12        0       89        0        0        0        0        0        0        4        0        0        0        0        3        0       12        0        6       29        0        7        2       12        6        0      392
Colle        92       38        1        0        4       18        9        0        5       71      147        3        1        3        9        4       10        0        8        0        1        0        0        0        0        5        0        0        0        0        4       19        8        3        1       55        0        0        8        2        9        0      538
Amber         1        3        0        0        0        0        0        0        0        0        5        0        0        0        0        1        1        0        5        0        0        0        0        0        0        0        0        0        0        0        0        2        8        0        2        3        0        0        0        0        0        0       32
Wethe         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4
Green        41       12        1        3        1        3        6        1        4        1       11        4        3        0        6        5        3        0       23        0        0        0        0        0        2        3        0        0        0        0        5        6       13        1        6       11        0        2        0        1        6        0      186
Bethe         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Kenwo         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        5
Milfo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
HydeP         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        2
Fores         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2
Norwo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2
Oakle         0        0        0        0        0        0        0        0        0        1        1        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        2        0        0        0        0        0        0        8
North         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
