Table   769.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/All car HH)***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
Home-Based Work All Fixed Guideway All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
Downt         1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        2
Downt         0        0        0        0        0        0        0        0        0        7        0        0        0        0       12        0        0        0        3        0        0        0        0        0        0        0        0        0        1        0        0        1        0        0        0        2        0        0        0        0        0        0       27
West          0        0        0        0        0        0        0        0        0        1        4        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       22        0        0        0        0        0        0       30
Lower         0        0        0        1        0        0        0        0        0        0        1        0        0        0        0        5        0        0        1        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3        0        0        0        0        0        0       12
MtAub         0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        7
Corry         0        0        0        0        0        0        0        0        0        0        7        1        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        1        0        0        0        0        0        0       13
UCMed         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1
MtAda         0        0        0        0        0        0        0        0        0        1        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3
Walnu         0        0        0        0        0        0        0        0        0        6        0        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        3        0        0        0        0        0        0       13
Clift        20       11        1        3        3        4        1        1        1        8       14        1        0        0        8        0        3        0        8        0        2        0        0        0        0        0        0        0        0        0        4        0        0        0        0       65        0        1        1        0        6        0      166
North        42      120        1        2        6       28       12        1        3       42        0        1        0        0        0        5        4        0       17        0        1        0        0        0        0        0        0        0        0        0        2        2        4        2        0       45        0        1        1        0        6        0      350
Winto         4        5        0        1        0        0        0        1        0        0        0        0        0        0        0        0        0        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0       11        0        1        4        0        3        0       38
BondH         0        0        0        0        0        0        0        0        0        8        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0       12
Xavie         0        1        0        0        0        0        0        0        0        3        0        0        0        0        0        3        0        0        6        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       14
Finne        81       97        0        1       10        7       10        2        7       17        4        9        0        2        1       18       10        0       54        1        0        0        0        0        1        8        0        0        0        0        1        1        7        1        4       60        0        6        2       10        7        0      439
Colle        79       39        1        0        6       12        8        0        8       31       53        2        0        2        2        0        3        0        6        1        2        0        0        0        0        2        0        0        0        0        1        9        8        2        0       68        0        0        7        2        8        0      365
Amber         1        1        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        4        0        0        0        0        1        0       20
Wethe         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4
Green        32       22        1        2        2        4        7        1        4        1        7        4        3        0        2        8        2        0       13        0        0        0        1        0        2        3        0        0        0        0        3        7        8        1        5       25        0        1        0        1        6        0      180
Bethe         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4
Kenwo         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        8
Milfo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
HydeP         0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        7
Fores         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        2
Norwo         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Oakle         0        0        0        1        0        0        0        0        0        2        1        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        4        0        0        0        0        0        0       13
