Table   958.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/0 car HH)***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
All Purposes All Fixed Guideway All Access 0 car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
Downt         2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3
Downt         0        1        0        0        0        0        0        0        0        0        0        0        0        0       29        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0       25        0        0        0        3        0        0        0        0        0        0       60
West          0        0        0        0        0        0        0        0        0        2        9        0        0        0        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       14
Lower         0        0        0        1        0        0        0        0        0        1        0        0        0        0        0        3        0        0        1        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        2        0        0        0        0        0        0        9
MtAub         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        6
Corry         0        0        0        0        0        0        0        0        0        0       19        2        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        1        0        0        0        0        0        0       32
UCMed         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        1        0        0        0        0        0        0        7
MtAda         0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        1        0        0        0        0        0        0        4
Walnu         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Clift        22       18        1        6        2       18        6        1        8       19       32        1        1        0       16        0        4        0        8        0        1        0        0        0        0        1        0        0        0        0        8        0        1        0        0       24        0        0        1        1        4        0      202
North        50      160        2        0        4       94       24        1        1      135        1        2        0        0        1       11        0        0       22        0        0        0        0        0        0        0        0        0        0        0        2       22        6        3        2       49        0        1        1        0        5        0      601
Winto         7        7        0        1        0        0        0        1        0        0        0        0        0        0        0        0        0        0       10        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        1        0        1        5        0        2        0       36
BondH         0        0        0        0        0        0        0        0        0       11        1        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       19        0        0        0        0        0        0        0        0        0        0       33
Xavie         0        0        0        0        0        0        0        0        0        2        2        0        0        0        3        5        0        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       22
Finne        59       49        1        1        2        8       11        2        2        7        9       14        0        0        2       34       11        0      100        0        0        0        0        0        0        5        0        0        0        0        3        0       12        1        5       38        0        6        2       12        5        0      399
Colle        89       34        1        0        3       17       10        0        5       90      137        2        1        3        6        4        8        0        9        0        1        0        0        0        0        5        0        0        0        0        4       18        6        3        0       86        0        0       10        3        8        0      562
Amber         1        3        0        0        0        0        0        0        0        0        4        0        0        0        0        1        1        0        4        0        0        0        0        0        0        0        0        0        0        0        0        1        8        0        2        4        0        0        0        0        1        0       32
Wethe         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5
Green        34       11        1        3        1        4        6        1        4        1       10        3        2        0        6        5        2        0       20        0        0        0        0        0        2        3        0        0        0        0        6        5       11        1        6       15        0        2        0        1        5        0      171
Bethe         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
Kenwo         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        5
Milfo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
HydeP         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        2
Fores         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2
Norwo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
