,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
0,Downt,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-4
1,Downt,-13,-26,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,-22
2,West,-3,-1,-4,-1,-1,1,2,0,0,1,-1,-3,0,0,0,1,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,4
3,Lower,-5,-3,0,-11,-1,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-26,0,0,0,0,0,0,-43
4,MtAub,-9,-3,0,-10,-3,0,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,-1,0,0,0,0,-33
5,Corry,2,0,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,16
6,UCMed,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-3
7,MtAda,0,0,0,0,-3,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-16
8,Walnu,-1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,3
9,Clift,17,7,1,0,-3,-2,1,0,11,10,6,1,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,-6,0,0,0,0,1,0,49
10,North,7,27,-2,1,-4,18,-1,0,-3,8,-20,6,0,0,1,1,1,0,5,0,0,0,-1,0,0,0,0,0,0,0,3,-13,-1,-2,0,6,0,1,1,0,1,0,40
11,Winto,-4,-4,-1,0,0,0,0,-1,0,0,1,10,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,-1,0,0,0,6
12,BondH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0
13,Xavie,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0
14,Finne,31,30,0,0,3,4,3,1,2,7,1,8,0,1,-8,2,1,-1,7,0,0,0,0,0,0,4,0,0,0,0,0,1,8,1,2,15,0,2,1,3,2,0,130
15,Colle,48,18,1,0,3,9,2,0,1,4,22,0,1,2,-1,-2,2,0,6,0,0,0,-1,0,0,1,0,0,0,0,1,5,6,1,0,17,0,0,4,1,1,0,154
16,Amber,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,0,0,0,0,0,16
17,Wethe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Green,17,6,1,0,1,2,4,0,0,1,5,6,2,0,2,3,4,-1,78,0,0,0,1,0,0,1,0,0,2,0,3,9,6,1,4,7,0,2,0,0,0,0,167
19,Bethe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Kenwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
21,Milfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,HydeP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Fores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Norwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
25,Oakle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,West,2,1,0,0,0,0,1,0,0,2,1,4,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,4,0,0,0,0,0,0,37
29,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Monfo,-4,3,0,0,-9,-3,0,-2,0,2,3,1,0,0,1,3,0,0,14,0,0,0,0,0,0,-2,0,0,1,0,4,-36,-2,0,0,5,0,1,0,0,0,0,-23
31,MtAir,5,2,1,4,1,1,1,0,0,0,-3,2,0,0,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,-6,4,0,-2,0,2,0,0,50
32,EPric,0,-1,0,0,0,0,0,0,0,5,0,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,-2
33,Delhi,1,0,0,-1,0,0,0,0,0,0,0,-3,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,-2,3,1,0,0,13,0,0,0,0,0,0,21
34,westw,2,1,0,0,1,2,1,0,0,1,1,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,3,0,0,0,7,0,0,0,0,0,0,28
35,Upper,4,1,0,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0,0,0,9
36,N_Bou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Kentu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,3,0,0,0,0,0,0,4
38,Devou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,1
39,EastE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
40,airpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Total,97,61,-4,-15,-17,33,10,-3,11,51,28,27,4,2,8,24,13,-2,148,0,-1,0,0,0,1,3,0,0,0,0,0,-27,67,-1,2,60,0,5,5,8,5,0,602
