,Idist,Downt,Downt,West,Lower,MtAub,Corry,UCMed,MtAda,Walnu,Clift,North,Winto,BondH,Xavie,Finne,Colle,Amber,Wethe,Green,Bethe,Kenwo,Milfo,HydeP,Fores,Norwo,Oakle,North,East,West,India,Monfo,MtAir,EPric,Delhi,westw,Upper,N_Bou,Kentu,Devou,EastE,airpo,Other,Total
0,Downt,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10
1,Downt,0,3,0,0,0,0,0,0,0,26,0,2,0,0,29,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,12,0,0,0,0,0,0,104
2,West,0,0,1,0,0,0,0,0,0,5,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,75
3,Lower,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,30
4,MtAub,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26
5,Corry,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,46
6,UCMed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,8
7,MtAda,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,9
8,Walnu,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,72
9,Clift,51,33,3,11,8,20,7,1,32,35,45,4,1,0,16,0,5,0,12,0,2,0,2,0,0,1,0,0,0,0,8,0,1,0,0,232,0,1,1,1,7,0,540
10,North,107,304,4,4,14,99,39,2,7,181,2,7,0,1,1,16,6,0,23,0,1,0,1,0,0,1,0,0,0,0,4,24,10,6,2,146,0,3,1,0,6,0,1020
11,Winto,8,9,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,25,0,1,5,0,3,0,74
12,BondH,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,50
13,Xavie,0,2,0,0,0,0,0,0,0,7,2,0,0,0,3,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33
14,Finne,159,165,1,2,17,11,18,4,11,41,11,44,0,3,3,55,14,0,125,1,0,0,0,0,1,13,0,0,0,0,4,3,17,4,8,111,0,8,2,12,9,0,876
15,Colle,216,75,3,0,12,24,16,0,14,90,171,10,1,6,7,7,10,0,14,1,3,0,0,0,1,9,0,0,0,0,7,43,24,7,1,112,0,1,11,3,10,0,910
16,Amber,2,5,1,1,1,0,0,0,0,2,6,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,2,9,0,0,0,0,1,0,53
17,Wethe,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
18,Green,61,34,3,4,3,5,10,1,7,2,13,10,5,0,7,17,3,1,36,0,0,0,3,0,2,5,0,0,1,0,8,16,16,2,9,37,0,3,0,1,7,0,332
19,Bethe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,Kenwo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11
21,Milfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,HydeP,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
23,Fores,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
