"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2023","XISTING",,"Y2023","O-BUILD",,"Y2023","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"1&T","1-Dixie Hwy/Florence","22","329.57","25.30","22","329.57","25.30","22","329.57","25.30"
"1-348&L","1-Mt. Adams - Eden Park","13","43.39","3.95","0","0.00","0.00","0","0.00","0.00"
"1-362&L","1-Mt. Adams - Eden Park","0","0.00","0.00","13","43.39","3.95","0","0.00","0.00"
"1-367&L","1-Mt. Adams - Eden Park","0","0.00","0.00","0","0.00","0.00","13","43.39","3.95"
"100-351&S","100-Streetcar - OTR - Banks","22","68.98","12.75","0","0.00","0.00","0","0.00","0.00"
"100-365&S","100-Streetcar - OTR - Banks","0","0.00","0.00","22","68.98","12.75","22","68.98","12.75"
"11-348&L","11-Madison Road - Erie Avenu","32","341.26","25.60","0","0.00","0.00","0","0.00","0.00"
"11-362&L","11-Madison Road - Erie Avenu","0","0.00","0.00","32","341.26","25.60","0","0.00","0.00"
"11-367&L","11-Madison Road - Erie Avenu","0","0.00","0.00","0","0.00","0.00","32","341.26","25.60"
"12&T","12-Bellevue/Dayton","10","41.31","4.50","10","41.31","4.50","10","41.31","4.50"
"12-348&L","12-Madisonville - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"12-362&L","12-Madisonville - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"12-367&L","12-Madisonville - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"14-367&L","14-Northside - Central Pkwy","0","0.00","0.00","0","0.00","0.00","18","56.49","3.90"
"15-367&L","15-Spring Grove Ave","0","0.00","0.00","0","0.00","0.00","19","78.36","5.40"
"16&T","16-West Newport/Fort Thomas","9","33.70","3.15","9","33.70","3.15","9","33.70","3.15"
