"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"Table","8.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict Incr","mental W","EKDAY AU","OMOBILE","MT Summa","y for Sc","nario  3","Y2023 B","ILD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Downt","2","0","0","0","3","0","0","1","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-3","0","0","0","0","0","0","5"
"Downt","7","15","0","0","0","0","0","0","0","-12","0","0","0","0","-64","0","0","0","-26","0","0","0","0","0","0","-1","0","0","8","0","0","-5","0","0","0","-8","0","0","0","0","0","0","-85"
"West","3","1","2","1","2","-3","-7","0","1","-3","7","18","0","0","0","-6","2","0","-29","0","26","0","1","1","0","2","0","0","0","0","6","0","-5","0","0","-34","0","-3","0","0","0","0","-17"
"Lower","9","3","0","7","1","-1","0","0","0","3","-5","0","0","0","0","-3","0","0","4","0","0","0","0","1","0","3","0","0","-17","0","2","0","-5","0","0","10","0","1","0","0","-1","0","10"
"MtAub","17","4","0","12","2","0","7","0","0","-3","0","0","0","0","0","-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","1","0","0","2","0","2","0","1","5","0","66"
"Corry","-5","-1","0","0","0","-1","0","0","0","0","-33","-19","0","0","0","-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-4","0","-1","0","-3","0","-1","0","0","-1","0","-83"
"UCMed","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","-2","3","0","0","0","0","0","0","0","0","0","12"
"MtAda","0","0","0","-1","5","0","0","0","0","1","-2","64","0","0","0","0","0","1","-3","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","75"
"Walnu","-1","0","0","2","1","0","0","0","0","-16","0","-9","0","0","1","-2","0","0","-10","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","-26"
"Clift","-99","-24","-4","-3","7","2","-3","0","-40","-10","-12","-3","-1","0","-26","0","-5","-1","-31","-1","-2","0","0","0","0","2","0","0","3","0","51","0","0","-1","-1","-4","0","-2","-2","-1","-20","0","-232"
"North","-48","-164","11","-4","31","-72","4","-1","23","-7","31","-34","0","0","-3","-3","-8","0","-43","0","-3","0","7","0","0","0","0","0","0","0","-19","22","4","11","1","-3","0","-6","-7","0","-10","0","-289"
"Winto","33","40","3","2","1","0","0","14","0","-1","-7","-19","0","0","0","0","-4","-2","-47","0","0","0","0","0","0","0","0","0","0","0","0","4","-4","4","0","6","0","2","13","0","10","0","47"
"BondH","0","0","0","0","0","0","0","0","0","-8","-1","0","0","0","0","-8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","1"
"Xavie","0","0","0","2","0","0","0","0","0","-3","-1","0","0","0","-4","-5","0","0","-22","0","0","0","0","0","0","0","0","0","0","0","1","21","2","0","0","-1","0","0","0","0","0","0","-10"
"Finne","-429","-369","2","0","-45","-37","-33","-9","-23","-40","-3","-38","-1","-6","12","-13","-6","10","-40","0","2","0","1","-1","-2","-53","0","0","0","0","1","-5","-92","-10","-32","-128","0","-40","-10","-76","-67","0","-1582"
"Colle","-431","-153","-6","0","-21","-51","-14","0","-5","-8","-70","-5","-4","-10","2","1","-14","0","-43","-3","-2","0","10","0","-2","-13","0","0","-2","0","-2","-19","-35","-11","-2","-95","0","-4","-49","-21","-11","0","-1089"
"Amber","-3","-18","0","-1","1","0","1","0","3","-3","-4","1","0","0","1","-3","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","-16","-112","0","-4","-6","0","0","0","0","-1","0","-156"
"Wethe","0","0","0","0","-1","0","0","0","0","1","0","-5","0","0","0","-1","0","0","-12","0","0","0","0","0","0","0","0","0","19","0","0","0","1","0","0","1","0","0","0","0","0","0","2"
"Green","-304","-127","-27","-5","-24","-40","-77","-2","-4","-8","-54","-96","-18","2","-8","-11","-30","5","-247","2","3","0","-12","1","-6","-22","0","0","-10","0","-21","-160","-120","-16","-60","-127","0","-39","-12","-20","-18","0","-1710"
"Bethe","0","0","0","1","0","0","0","0","0","-3","-1","-7","0","0","1","-11","0","0","8","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","-4","0","0","0","0","0","0","-14"
"Kenwo","-1","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","-9","0","0","0","0","0","0","0","0","0","1","0","0","0","-4","0","0","-11","0","0","0","0","0","0","-26"
"Milfo","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-2","0","0","0","0","0","0","-3"
"HydeP","0","0","0","0","0","0","0","0","0","0","-6","-3","0","0","0","0","0","1","-8","0","0","0","0","0","0","0","0","0","0","0","8","1","-2","0","0","1","0","0","0","0","0","0","-10"
"Fores","0","0","0","0","0","0","0","0","0","3","-1","-2","0","0","-1","0","-1","0","1","0","0","0","0","0","0","0","0","0","3","0","1","3","2","0","0","1","0","0","0","0","0","0","9"
"Norwo","2","0","0","0","3","0","0","0","0","-1","0","0","0","0","1","0","0","0","-14","0","0","0","0","0","0","0","0","0","0","0","0","-10","-3","0","0","0","0","0","0","0","0","0","-22"
"Oakle","0","0","2","-1","0","-1","0","0","0","-2","-1","0","0","0","0","-5","0","0","-18","0","0","0","0","0","0","0","0","0","-7","0","-2","-1","-3","0","0","3","0","0","0","0","0","0","-36"
"North","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","-2"
"East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","-1","0","0","0","0","0","0","2"
"West","-18","-11","0","3","-4","-5","-20","0","-1","-13","-10","-43","0","0","0","-4","-1","0","-33","-1","-1","0","-4","0","-1","-1","0","0","2","0","0","-61","-18","-1","0","-32","0","-1","0","0","-2","0","-282"
"India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monfo","17","-49","-1","1","131","50","22","40","1","-8","-4","-6","0","1","-2","-9","5","0","-89","0","0","0","5","0","6","38","0","0","-4","0","-2","284","21","-2","-2","-12","-2","-15","0","-4","-10","0","401"
"MtAir","-33","-9","-3","-10","-1","2","1","0","0","-1","2","-16","-2","0","-4","-12","-9","0","-48","1","0","0","-8","1","0","0","0","0","0","0","0","1","-176","0","35","-3","0","13","0","-27","-1","0","-308"
"EPric","2","2","2","0","0","-1","0","1","0","-21","0","52","-1","0","-1","-5","-5","-1","-5","0","0","0","1","0","0","0","0","0","0","0","0","0","-5","14","0","-1","0","1","0","0","0","0","31"
"Delhi","4","3","0","6","-5","0","-4","0","0","1","-3","44","0","0","-25","-27","1","0","-37","0","0","0","0","0","0","-1","0","0","14","0","18","-11","-8","0","0","-77","0","1","0","0","0","0","-106"
"westw","-3","3","0","0","1","1","1","0","0","-2","-2","-55","-1","0","-1","-2","-5","1","-8","0","-3","0","1","0","0","0","0","0","0","0","11","-1","5","0","0","12","0","-3","0","-1","0","0","-52"
"Upper","-16","-5","0","-8","0","0","0","0","0","0","2","-2","0","0","0","0","0","0","-1","0","-1","0","0","0","0","-3","0","0","-2","0","2","0","-8","0","0","0","0","-1","0","-3","-1","0","-46"
"N_Bou","0","0","0","0","0","-1","0","0","0","0","0","-1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-1","0","0","0","0","0","0","6"
"Kentu","1","0","0","-2","-1","0","0","0","0","-1","-6","-2","0","0","0","0","0","0","-15","0","0","0","0","0","-1","0","0","0","5","0","-6","7","7","0","0","-14","0","0","0","0","0","0","-28"
"Devou","0","0","2","0","-2","-2","0","0","0","-2","0","-19","0","0","1","0","0","0","-13","0","0","0","0","0","0","0","0","0","0","0","1","-6","9","0","0","0","0","0","0","0","0","0","-32"
"EastE","1","0","0","-1","-2","-1","0","0","0","0","-7","3","0","0","0","-1","0","0","16","0","0","0","0","0","0","0","0","0","0","0","-2","-5","0","0","0","-6","0","0","0","0","0","0","-3"
"airpo","0","0","0","0","0","0","0","0","0","0","-3","1","0","0","3","0","-2","0","-2","0","0","0","0","0","0","0","0","0","1","0","-1","-1","2","0","0","-3","0","0","0","0","0","0","-5"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","-1293","-859","-17","2","83","-161","-123","43","-47","-168","-197","-200","-28","-12","-120","-150","-80","16","-806","-2","19","0","0","2","-7","-47","0","0","20","0","79","69","-538","-13","-64","-543","-2","-95","-67","-153","-127","0","-5589"
"Program","STOPS -","TA Simpl","fied Tri","s-on-Pro","ect Soft","are",,,,,,,"Page","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Version","STOPS-v",".52 - 12","12/2022",,,,,,,,,,"7/24","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Run:","SORTA BR",,,,,,,,,,,,"10:","8:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"System:","SORTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
